envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
362	3978000	4074000	4194000	3594000	3834000	4194000	
363	3975000	4071000	4191000	3591000	3831000	4191000	
364	3972000	4068000	4188000	3588000	3828000	4188000	
365	4041000	4065000	4305000	3705000	3945000	4185000	
366	4062000	4062000	4302000	3702000	3942000	4302000	
367	4083000	4059000	4299000	3819000	3939000	4299000	
368	4128000	4056000	4416000	3816000	4056000	4296000	
369	4125000	4053000	4413000	3813000	4053000	4293000	
370	4122000	4050000	4410000	3810000	4050000	4290000	
371	4119000	4047000	4407000	3807000	4047000	4287000	
372	4140000	4164000	4404000	3804000	4044000	4284000	
373	4137000	4161000	4401000	3801000	4041000	4281000	
374	4182000	4158000	4518000	3798000	4158000	4278000	
375	4227000	4155000	4635000	3795000	4155000	4395000	
376	4224000	4152000	4632000	3792000	4152000	4392000	
377	4245000	4149000	4629000	3789000	4269000	4389000	
378	4266000	4146000	4626000	3786000	4386000	4386000	
379	4263000	4143000	4623000	3783000	4383000	4383000	
380	4284000	4140000	4740000	3780000	4380000	4380000	
381	4281000	4137000	4737000	3777000	4377000	4377000	
382	4302000	4134000	4734000	3774000	4374000	4494000	
383	4347000	4251000	4731000	3771000	4491000	4491000	
384	4344000	4248000	4728000	3768000	4488000	4488000	
385	4341000	4245000	4725000	3765000	4485000	4485000	
386	4338000	4242000	4722000	3762000	4482000	4482000	
387	4335000	4239000	4719000	3759000	4479000	4479000	
388	4332000	4236000	4716000	3756000	4476000	4476000	
389	4353000	4233000	4833000	3753000	4473000	4473000	
390	4350000	4230000	4830000	3750000	4470000	4470000	
391	4347000	4227000	4827000	3747000	4467000	4467000	
392	4368000	4224000	4824000	3744000	4464000	4584000	
393	4365000	4221000	4821000	3741000	4461000	4581000	
394	4386000	4218000	4818000	3858000	4458000	4578000	
395	4407000	4215000	4815000	3975000	4455000	4575000	
396	4428000	4212000	4812000	4092000	4452000	4572000	
397	4425000	4209000	4809000	4089000	4449000	4569000	
398	4446000	4206000	4806000	4206000	4446000	4566000	
399	4467000	4203000	4923000	4203000	4443000	4563000	
400	4488000	4200000	4920000	4320000	4440000	4560000	
401	4485000	4197000	4917000	4317000	4437000	4557000	
402	4482000	4194000	4914000	4314000	4434000	4554000	
403	4479000	4191000	4911000	4311000	4431000	4551000	
404	4500000	4188000	5028000	4308000	4428000	4548000	
405	4497000	4185000	5025000	4305000	4425000	4545000	
406	4518000	4182000	5022000	4302000	4422000	4662000	
407	4539000	4179000	5019000	4299000	4539000	4659000	
408	4560000	4176000	5016000	4416000	4536000	4656000	
409	4557000	4173000	5013000	4413000	4533000	4653000	
410	4578000	4170000	5130000	4410000	4530000	4650000	
411	4575000	4167000	5127000	4407000	4527000	4647000	
412	4572000	4164000	5124000	4404000	4524000	4644000	
413	4593000	4281000	5121000	4401000	4521000	4641000	
414	4590000	4278000	5118000	4398000	4518000	4638000	
415	4611000	4275000	5115000	4395000	4635000	4635000	
416	4608000	4272000	5112000	4392000	4632000	4632000	
417	4629000	4389000	5109000	4389000	4629000	4629000	
418	4674000	4506000	5226000	4386000	4626000	4626000	
419	4671000	4503000	5223000	4383000	4623000	4623000	
420	4668000	4500000	5220000	4380000	4620000	4620000	
421	4689000	4497000	5217000	4497000	4617000	4617000	
422	4686000	4494000	5214000	4494000	4614000	4614000	
423	4731000	4611000	5211000	4611000	4611000	4611000	
424	4728000	4608000	5208000	4608000	4608000	4608000	
425	4773000	4605000	5205000	4605000	4725000	4725000	
426	4818000	4722000	5202000	4602000	4842000	4722000	
427	4839000	4719000	5199000	4599000	4839000	4839000	
428	4836000	4716000	5196000	4596000	4836000	4836000	
429	4857000	4713000	5193000	4593000	4953000	4833000	
430	4854000	4710000	5190000	4590000	4950000	4830000	
431	4875000	4707000	5187000	4587000	5067000	4827000	
432	4896000	4704000	5304000	4584000	5064000	4824000	
433	4893000	4701000	5301000	4581000	5061000	4821000	
434	4938000	4818000	5298000	4578000	5178000	4818000	
435	4935000	4815000	5295000	4575000	5175000	4815000	
436	4956000	4812000	5292000	4572000	5172000	4932000	
437	4953000	4809000	5289000	4569000	5169000	4929000	
438	4950000	4806000	5286000	4566000	5166000	4926000	
439	4947000	4803000	5283000	4563000	5163000	4923000	
440	4968000	4800000	5400000	4560000	5160000	4920000	
441	4989000	4917000	5397000	4557000	5157000	4917000	
442	4986000	4914000	5394000	4554000	5154000	4914000	
443	5007000	5031000	5391000	4551000	5151000	4911000	
444	5028000	5028000	5388000	4668000	5148000	4908000	
445	5049000	5025000	5385000	4785000	5145000	4905000	
446	5046000	5022000	5382000	4782000	5142000	4902000	
447	5091000	5139000	5499000	4779000	5139000	4899000	
448	5136000	5136000	5616000	4776000	5136000	5016000	
449	5133000	5133000	5613000	4773000	5133000	5013000	
450	5154000	5130000	5610000	4890000	5130000	5010000	
451	5175000	5247000	5607000	4887000	5127000	5007000	
452	5172000	5244000	5604000	4884000	5124000	5004000	
453	5193000	5241000	5601000	4881000	5241000	5001000	
454	5190000	5238000	5598000	4878000	5238000	4998000	
455	5211000	5235000	5595000	4875000	5355000	4995000	
456	5208000	5232000	5592000	4872000	5352000	4992000	
457	5229000	5229000	5589000	4989000	5349000	4989000	
458	5250000	5226000	5586000	4986000	5466000	4986000	
459	5271000	5223000	5583000	4983000	5583000	4983000	
460	5316000	5340000	5580000	4980000	5700000	4980000	
461	5313000	5337000	5577000	4977000	5697000	4977000	
462	5358000	5334000	5574000	5094000	5694000	5094000	
463	5403000	5331000	5571000	5211000	5811000	5091000	
464	5400000	5328000	5568000	5208000	5808000	5088000	
465	5421000	5325000	5565000	5205000	5925000	5085000	
466	5442000	5322000	5562000	5322000	5922000	5082000	
467	5439000	5319000	5559000	5319000	5919000	5079000	
468	5484000	5316000	5556000	5316000	6036000	5196000	
469	5481000	5313000	5553000	5313000	6033000	5193000	
470	5502000	5310000	5550000	5430000	6030000	5190000	
471	5499000	5307000	5547000	5427000	6027000	5187000	
472	5520000	5304000	5544000	5424000	6024000	5304000	
473	5541000	5301000	5541000	5541000	6021000	5301000	
474	5562000	5418000	5538000	5538000	6018000	5298000	
475	5559000	5415000	5535000	5535000	6015000	5295000	
476	5580000	5412000	5652000	5532000	6012000	5292000	
477	5577000	5409000	5649000	5529000	6009000	5289000	
478	5574000	5406000	5646000	5526000	6006000	5286000	
479	5595000	5523000	5643000	5523000	6003000	5283000	
480	5616000	5520000	5640000	5520000	6120000	5280000	
481	5613000	5517000	5637000	5517000	6117000	5277000	
482	5610000	5514000	5634000	5514000	6114000	5274000	
483	5607000	5511000	5631000	5511000	6111000	5271000	
484	5676000	5628000	5748000	5508000	6228000	5268000	
485	5673000	5625000	5745000	5505000	6225000	5265000	
486	5694000	5742000	5742000	5502000	6222000	5262000	
487	5739000	5859000	5739000	5619000	6219000	5259000	
488	5736000	5856000	5736000	5616000	6216000	5256000	
489	5757000	5973000	5733000	5613000	6213000	5253000	
490	5754000	5970000	5730000	5610000	6210000	5250000	
491	5799000	6087000	5727000	5727000	6207000	5247000	
492	5820000	6204000	5724000	5724000	6204000	5244000	
493	5817000	6201000	5721000	5721000	6201000	5241000	
494	5838000	6198000	5718000	5718000	6318000	5238000	
495	5835000	6195000	5715000	5715000	6315000	5235000	
496	5832000	6192000	5712000	5712000	6312000	5232000	
497	5877000	6189000	5709000	5829000	6429000	5229000	
498	5874000	6186000	5706000	5826000	6426000	5226000	
499	5895000	6183000	5703000	5943000	6423000	5223000	
500	5892000	6180000	5700000	5940000	6420000	5220000	
501	5889000	6177000	5697000	5937000	6417000	5217000	
502	5910000	6294000	5694000	5934000	6414000	5214000	
503	5931000	6291000	5691000	6051000	6411000	5211000	
504	5928000	6288000	5688000	6048000	6408000	5208000	
505	5997000	6405000	5685000	6165000	6525000	5205000	
